# Section: metadata
key,value
name,OKWIN
protocol,p25
sysid,92C
wacn,BEE00

# Section: sites
rfss,site_id,site_name,county,frequencies
1,2,Oklahoma City,Oklahoma,857.9375c|858.9375c|859.9375c|860.9375c
1,29,Norman,Cleveland,859.9875c|860.9875c
1,49,Payne County,Payne,774.34375c|774.59375c

# Section: talkgroups
decimal,hex,mode,alpha_tag,description,tag,group
1985,7c1,D,SMA 1-A Call,SMA 1-A State Mutual Aid Calling Channel,Interop,Statewide
2711,a97,D,CentralOK RMA 2A,RMA CN 2-A - Regional Mutual Aid,Interop,Central OK
